city,date,min_temp,max_temp,weather,rp,rainfall
St.George's (Grenada),2025-06-17,26.38°C,28.24°C,맑음,5%,0mm
St.George's (Grenada),2025-06-18,26.25°C,28.16°C,실 비,37%,0.51mm
St.George's (Grenada),2025-06-19,26.3°C,28.32°C,온흐림,0%,0mm
Basse-Terre (Guadeloupe),2025-06-13,25.72°C,26.64°C,실 비,34%,0.26mm
Basse-Terre (Guadeloupe),2025-06-14,25.53°C,26.62°C,실 비,100%,2.1mm
Basse-Terre (Guadeloupe),2025-06-15,25.48°C,26.77°C,실 비,100%,3.15mm
Basse-Terre (Guadeloupe),2025-06-16,25.7°C,27.08°C,실 비,20%,1.08mm
Basse-Terre (Guadeloupe),2025-06-17,25.87°C,27.13°C,실 비,36%,0.66mm
Basse-Terre (Guadeloupe),2025-06-18,25.6°C,27.36°C,실 비,20%,0.42mm
Basse-Terre (Guadeloupe),2025-06-19,26.03°C,27.21°C,실 비,39%,0.57mm
Hagåtña (Guam),2025-06-12,27.99°C,30.51°C,보통 비,100%,11.97mm
Hagåtña (Guam),2025-06-13,27.8°C,30.57°C,보통 비,100%,6.57mm
Hagåtña (Guam),2025-06-14,26.84°C,30.16°C,보통 비,100%,6.12mm
Hagåtña (Guam),2025-06-15,27.23°C,30.15°C,실 비,100%,3.01mm
Hagåtña (Guam),2025-06-16,26.94°C,30.44°C,실 비,87%,0.64mm
Hagåtña (Guam),2025-06-17,27.35°C,30.3°C,실 비,93%,1.53mm
Hagåtña (Guam),2025-06-18,27.17°C,30.13°C,실 비,71%,0.72mm
Ciudad de Guatemala (Guatemala City) (Guatemala),2025-06-12,15.79°C,24.97°C,보통 비,100%,19.03mm
Ciudad de Guatemala (Guatemala City) (Guatemala),2025-06-13,14.69°C,25.09°C,보통 비,100%,8.47mm
Ciudad de Guatemala (Guatemala City) (Guatemala),2025-06-14,15.16°C,22.05°C,강한 비,100%,25.85mm
Ciudad de Guatemala (Guatemala City) (Guatemala),2025-06-15,15.65°C,21.56°C,강한 비,100%,61.26mm
Ciudad de Guatemala (Guatemala City) (Guatemala),2025-06-16,16.35°C,23.36°C,강한 비,100%,40.08mm
Ciudad de Guatemala (Guatemala City) (Guatemala),2025-06-17,15.57°C,23.83°C,보통 비,100%,13.23mm
Ciudad de Guatemala (Guatemala City) (Guatemala),2025-06-18,15.98°C,18.11°C,실 비,100%,5.97mm
Conakry (Guinea),2025-06-12,25.11°C,27.33°C,보통 비,84%,7.12mm
Conakry (Guinea),2025-06-13,25.72°C,26.92°C,보통 비,82%,7.1mm
Conakry (Guinea),2025-06-14,25.62°C,27.27°C,보통 비,100%,10.17mm
Conakry (Guinea),2025-06-15,24.86°C,26.94°C,보통 비,97%,12.99mm
Conakry (Guinea),2025-06-16,24.38°C,26.79°C,보통 비,100%,16.14mm
Conakry (Guinea),2025-06-17,24.62°C,27.26°C,보통 비,100%,12.67mm
Conakry (Guinea),2025-06-18,26.21°C,27.93°C,실 비,44%,0.88mm
Bissau (Guinea-Bissau),2025-06-12,24.4°C,29.38°C,매우 강한 비,98%,52.63mm
Bissau (Guinea-Bissau),2025-06-13,24.25°C,28.94°C,강한 비,99%,40.43mm
Bissau (Guinea-Bissau),2025-06-14,25.28°C,30.2°C,보통 비,92%,5.9mm
Bissau (Guinea-Bissau),2025-06-15,25.55°C,29.21°C,실 비,69%,5.06mm
Bissau (Guinea-Bissau),2025-06-16,25.14°C,28.84°C,온흐림,33%,0mm
Bissau (Guinea-Bissau),2025-06-17,24.73°C,28.08°C,보통 비,90%,4.67mm
Bissau (Guinea-Bissau),2025-06-18,24.92°C,29.92°C,실 비,26%,0.1mm
Georgetown (Guyana),2025-06-13,23.91°C,25.7°C,보통 비,100%,9.37mm
Georgetown (Guyana),2025-06-14,23.92°C,28.04°C,보통 비,100%,14.69mm
Georgetown (Guyana),2025-06-15,24.32°C,27.51°C,보통 비,100%,19.48mm
Georgetown (Guyana),2025-06-16,24.17°C,27.78°C,보통 비,100%,17.07mm
Georgetown (Guyana),2025-06-17,23.6°C,28.61°C,보통 비,100%,21.21mm
Georgetown (Guyana),2025-06-18,23.95°C,28.4°C,보통 비,100%,7.83mm
Georgetown (Guyana),2025-06-19,24.09°C,28.85°C,실 비,100%,4.5mm
Port-au-Prince (Haiti),2025-06-13,23.6°C,32.7°C,보통 비,100%,11.72mm
Port-au-Prince (Haiti),2025-06-14,23.19°C,33.11°C,실 비,100%,3.2mm
Port-au-Prince (Haiti),2025-06-15,23.21°C,32.96°C,실 비,100%,3.05mm
Port-au-Prince (Haiti),2025-06-16,23.24°C,32.89°C,실 비,100%,5.53mm
Port-au-Prince (Haiti),2025-06-17,23.55°C,32.14°C,실 비,94%,2.01mm
Port-au-Prince (Haiti),2025-06-18,23.73°C,34.75°C,실 비,91%,3.66mm
Port-au-Prince (Haiti),2025-06-19,23.81°C,34.96°C,실 비,96%,5.13mm
Vatican City (Holy See),2025-06-12,20.51°C,33.64°C,맑음,0%,0mm
Vatican City (Holy See),2025-06-13,20.8°C,35.21°C,맑음,0%,0mm
Vatican City (Holy See),2025-06-14,21.18°C,34.45°C,맑음,0%,0mm
Vatican City (Holy See),2025-06-15,21.63°C,32.67°C,온흐림,0%,0mm
Vatican City (Holy See),2025-06-16,20.79°C,33.39°C,실 비,26%,0.12mm
Vatican City (Holy See),2025-06-17,21.31°C,33.09°C,맑음,0%,0mm
Vatican City (Holy See),2025-06-18,22.89°C,33.65°C,맑음,0%,0mm
Tegucigalpa (Honduras),2025-06-12,17.97°C,29.24°C,실 비,77%,0.72mm
Tegucigalpa (Honduras),2025-06-13,17.49°C,28.6°C,보통 비,100%,7.43mm
Tegucigalpa (Honduras),2025-06-14,18.51°C,25.15°C,실 비,100%,2.9mm
Tegucigalpa (Honduras),2025-06-15,18.48°C,26.25°C,보통 비,100%,7.32mm
Tegucigalpa (Honduras),2025-06-16,18.43°C,26.39°C,보통 비,100%,10.48mm
Tegucigalpa (Honduras),2025-06-17,18.38°C,22.74°C,보통 비,100%,10.89mm
Tegucigalpa (Honduras),2025-06-18,19.12°C,20.6°C,보통 비,100%,13.92mm
Budapest (Hungary),2025-06-12,13.93°C,26.15°C,맑음,0%,0mm
Budapest (Hungary),2025-06-13,15.49°C,28.11°C,맑음,0%,0mm
Budapest (Hungary),2025-06-14,15.07°C,26.93°C,맑음,0%,0mm
Budapest (Hungary),2025-06-15,17.07°C,29.65°C,맑음,0%,0mm
Budapest (Hungary),2025-06-16,19.57°C,26.63°C,실 비,31%,0.15mm
Budapest (Hungary),2025-06-17,15.78°C,27.63°C,구름조금,0%,0mm
Budapest (Hungary),2025-06-18,17.84°C,32.36°C,실 비,20%,0.24mm
Reykjavík (Iceland),2025-06-12,8.89°C,10.78°C,실 비,80%,0.68mm
Reykjavík (Iceland),2025-06-13,8°C,12.52°C,튼구름,0%,0mm
Reykjavík (Iceland),2025-06-14,9.1°C,10.74°C,실 비,81%,0.91mm
Reykjavík (Iceland),2025-06-15,9.7°C,11.09°C,실 비,33%,0.11mm
Reykjavík (Iceland),2025-06-16,8.66°C,9.91°C,보통 비,100%,14.73mm
Reykjavík (Iceland),2025-06-17,9.44°C,11.49°C,실 비,100%,1.05mm
Reykjavík (Iceland),2025-06-18,10.09°C,11.31°C,실 비,23%,0.15mm
Delhi (India),2025-06-12,38.11°C,47.19°C,맑음,0%,0mm
Delhi (India),2025-06-13,37.26°C,47.31°C,맑음,0%,0mm
Delhi (India),2025-06-14,35.89°C,46.79°C,구름조금,0%,0mm
Delhi (India),2025-06-15,36.72°C,46.76°C,맑음,0%,0mm
Delhi (India),2025-06-16,39.44°C,46.32°C,약간의 구름이 낀 하늘,0%,0mm
Delhi (India),2025-06-17,39.16°C,47.11°C,약간의 구름이 낀 하늘,0%,0mm
Delhi (India),2025-06-18,36.41°C,46.5°C,맑음,0%,0mm
Jakarta (Indonesia),2025-06-12,25.96°C,32.19°C,실 비,100%,1.55mm
Jakarta (Indonesia),2025-06-13,26.39°C,32.99°C,실 비,61%,0.42mm
Jakarta (Indonesia),2025-06-14,26.9°C,32.88°C,실 비,100%,3.32mm
Jakarta (Indonesia),2025-06-15,25.38°C,28.97°C,보통 비,100%,5.21mm
Jakarta (Indonesia),2025-06-16,25.36°C,32.22°C,실 비,20%,0.21mm
Jakarta (Indonesia),2025-06-17,27.2°C,31.87°C,보통 비,100%,6.81mm
Jakarta (Indonesia),2025-06-18,26.45°C,32.16°C,보통 비,100%,9.48mm
Tehran (Iran (Islamic Republic of)),2025-06-12,24.49°C,32.62°C,실 비,65%,0.46mm
Tehran (Iran (Islamic Republic of)),2025-06-13,27.46°C,34.55°C,맑음,0%,0mm
Tehran (Iran (Islamic Republic of)),2025-06-14,28.24°C,34.84°C,맑음,0%,0mm
Tehran (Iran (Islamic Republic of)),2025-06-15,30.23°C,36.36°C,맑음,0%,0mm
Tehran (Iran (Islamic Republic of)),2025-06-16,30.86°C,37.64°C,맑음,0%,0mm
Tehran (Iran (Islamic Republic of)),2025-06-17,32°C,38.21°C,맑음,0%,0mm
Tehran (Iran (Islamic Republic of)),2025-06-18,27.75°C,36.87°C,맑음,0%,0mm
Baghdad (Iraq),2025-06-12,33.8°C,45.56°C,맑음,0%,0mm
Baghdad (Iraq),2025-06-13,35.05°C,47.12°C,맑음,0%,0mm
Baghdad (Iraq),2025-06-14,35.87°C,48.64°C,맑음,0%,0mm
Baghdad (Iraq),2025-06-15,35.78°C,48.38°C,맑음,0%,0mm
Baghdad (Iraq),2025-06-16,34.73°C,47.57°C,맑음,0%,0mm
Baghdad (Iraq),2025-06-17,33.17°C,44.89°C,맑음,0%,0mm
Baghdad (Iraq),2025-06-18,31.69°C,45.72°C,맑음,0%,0mm
Dublin (Ireland),2025-06-12,13.96°C,19.21°C,강한 비,100%,22.98mm
Dublin (Ireland),2025-06-13,11.95°C,21.31°C,강한 비,100%,17.5mm
Dublin (Ireland),2025-06-14,12.27°C,16.38°C,보통 비,100%,8.96mm
Dublin (Ireland),2025-06-15,9.26°C,19.06°C,실 비,64%,0.31mm
Dublin (Ireland),2025-06-16,12.15°C,21.77°C,실 비,32%,0.24mm
Dublin (Ireland),2025-06-17,12.04°C,17.36°C,실 비,100%,3.06mm
Dublin (Ireland),2025-06-18,10.49°C,17.21°C,실 비,20%,0.18mm
Douglas (Isle of Man),2025-06-12,13.52°C,15.44°C,강한 비,100%,14.22mm
Douglas (Isle of Man),2025-06-13,14.02°C,16.79°C,실 비,100%,0.96mm
Douglas (Isle of Man),2025-06-14,12.68°C,14.87°C,보통 비,100%,7.19mm
Douglas (Isle of Man),2025-06-15,10.62°C,16.08°C,실 비,25%,0.26mm
Douglas (Isle of Man),2025-06-16,12.84°C,17.09°C,튼구름,0%,0mm
Douglas (Isle of Man),2025-06-17,12.66°C,15.24°C,보통 비,100%,4.77mm
Douglas (Isle of Man),2025-06-18,11.28°C,15.59°C,실 비,100%,0.72mm
Jerusalem (Israel),2025-06-12,20.54°C,32.44°C,맑음,0%,0mm
Jerusalem (Israel),2025-06-13,21.34°C,33.39°C,맑음,0%,0mm
Jerusalem (Israel),2025-06-14,20.57°C,32.14°C,맑음,0%,0mm
Jerusalem (Israel),2025-06-15,18.91°C,29.64°C,구름조금,0%,0mm
Jerusalem (Israel),2025-06-16,16.94°C,29.14°C,맑음,0%,0mm
Jerusalem (Israel),2025-06-17,18.32°C,31.38°C,맑음,0%,0mm
Jerusalem (Israel),2025-06-18,18.69°C,31.57°C,맑음,0%,0mm
Roma (Rome) (Italy),2025-06-12,20.86°C,33.84°C,맑음,0%,0mm
Roma (Rome) (Italy),2025-06-13,21.2°C,35.19°C,맑음,0%,0mm
Roma (Rome) (Italy),2025-06-14,21.56°C,34.56°C,맑음,0%,0mm
Roma (Rome) (Italy),2025-06-15,22.05°C,32.65°C,온흐림,0%,0mm
Roma (Rome) (Italy),2025-06-16,21.34°C,33.53°C,실 비,26%,0.15mm
Roma (Rome) (Italy),2025-06-17,21.85°C,33.24°C,맑음,0%,0mm
Roma (Rome) (Italy),2025-06-18,23.38°C,33.85°C,맑음,0%,0mm
Kingston (Jamaica),2025-06-12,24.2°C,35.89°C,구름조금,0%,0mm
Kingston (Jamaica),2025-06-13,22.82°C,34.25°C,실 비,93%,1.13mm
Kingston (Jamaica),2025-06-14,23.44°C,33.92°C,온흐림,41%,0mm
Kingston (Jamaica),2025-06-15,22.95°C,34.23°C,튼구름,0%,0mm
Kingston (Jamaica),2025-06-16,23.3°C,34.33°C,온흐림,0%,0mm
Kingston (Jamaica),2025-06-17,23.59°C,34.85°C,튼구름,0%,0mm
Kingston (Jamaica),2025-06-18,23.26°C,34.96°C,구름조금,28%,0mm
Tokyo (Japan),2025-06-12,20.55°C,27.99°C,온흐림,0%,0mm
Tokyo (Japan),2025-06-13,21.4°C,24.27°C,온흐림,0%,0mm
Tokyo (Japan),2025-06-14,20.35°C,24.97°C,실 비,32%,0.75mm
Tokyo (Japan),2025-06-15,20.32°C,21.28°C,실 비,100%,5.69mm
Tokyo (Japan),2025-06-16,20.91°C,26.81°C,실 비,100%,2.22mm
Tokyo (Japan),2025-06-17,24.41°C,31.87°C,온흐림,0%,0mm
Tokyo (Japan),2025-06-18,25.98°C,31.67°C,실 비,94%,0.9mm
Amman (Jordan),2025-06-12,20.94°C,33.28°C,맑음,0%,0mm
Amman (Jordan),2025-06-13,21.61°C,34.61°C,맑음,0%,0mm
Amman (Jordan),2025-06-14,20.96°C,33.65°C,맑음,0%,0mm
Amman (Jordan),2025-06-15,19.94°C,31.38°C,맑음,0%,0mm
Amman (Jordan),2025-06-16,17.46°C,30.41°C,맑음,0%,0mm
Amman (Jordan),2025-06-17,18.8°C,32.21°C,맑음,0%,0mm
Amman (Jordan),2025-06-18,18.78°C,33.09°C,맑음,0%,0mm
Astana (Kazakhstan),2025-06-12,19.13°C,31.2°C,보통 비,100%,1.71mm
Astana (Kazakhstan),2025-06-13,18.73°C,29.48°C,실 비,100%,2.28mm
Astana (Kazakhstan),2025-06-14,17.31°C,28.71°C,실 비,56%,0.78mm
Astana (Kazakhstan),2025-06-15,17.46°C,25.57°C,실 비,20%,0.12mm
Astana (Kazakhstan),2025-06-16,20.22°C,27.81°C,튼구름,0%,0mm
Astana (Kazakhstan),2025-06-17,18.88°C,32.56°C,실 비,85%,0.84mm
Astana (Kazakhstan),2025-06-18,15.08°C,25.05°C,실 비,100%,4.83mm
Nairobi (Kenya),2025-06-12,13.39°C,22.63°C,온흐림,7%,0mm
Nairobi (Kenya),2025-06-13,13.25°C,23.18°C,맑음,0%,0mm
Nairobi (Kenya),2025-06-14,11.92°C,23.18°C,구름조금,9%,0mm
Nairobi (Kenya),2025-06-15,11.69°C,20.89°C,구름조금,3%,0mm
Nairobi (Kenya),2025-06-16,12.28°C,21.31°C,온흐림,3%,0mm
Nairobi (Kenya),2025-06-17,12.52°C,20.57°C,실 비,26%,0.72mm
Nairobi (Kenya),2025-06-18,12.57°C,21.78°C,실 비,37%,1.72mm
Tarawa (Kiribati),2025-06-12,28°C,28.44°C,약간의 구름이 낀 하늘,31%,0mm
Tarawa (Kiribati),2025-06-13,27.89°C,28.41°C,실 비,41%,1.77mm
Tarawa (Kiribati),2025-06-14,27.92°C,28.35°C,실 비,100%,3.54mm
Tarawa (Kiribati),2025-06-15,27.69°C,28.25°C,보통 비,100%,10.54mm
Tarawa (Kiribati),2025-06-16,27.36°C,28.23°C,실 비,100%,4.27mm
Tarawa (Kiribati),2025-06-17,27.72°C,28.28°C,실 비,43%,0.36mm
Tarawa (Kiribati),2025-06-18,27.47°C,28.27°C,실 비,77%,2.62mm
Al Kuwayt (Kuwait City) (Kuwait),2025-06-12,31.24°C,35.28°C,맑음,0%,0mm
Al Kuwayt (Kuwait City) (Kuwait),2025-06-13,33.47°C,40.3°C,맑음,0%,0mm
Al Kuwayt (Kuwait City) (Kuwait),2025-06-14,35.14°C,41.63°C,맑음,0%,0mm
Al Kuwayt (Kuwait City) (Kuwait),2025-06-15,35.41°C,41.36°C,맑음,0%,0mm
Al Kuwayt (Kuwait City) (Kuwait),2025-06-16,35.18°C,44.43°C,맑음,0%,0mm
Al Kuwayt (Kuwait City) (Kuwait),2025-06-17,35.51°C,44.6°C,맑음,0%,0mm
Al Kuwayt (Kuwait City) (Kuwait),2025-06-18,35.4°C,44.59°C,맑음,0%,0mm
Bishkek (Kyrgyzstan),2025-06-12,20.33°C,35.53°C,구름조금,2%,0mm
Bishkek (Kyrgyzstan),2025-06-13,21.34°C,32.93°C,실 비,56%,0.83mm
Bishkek (Kyrgyzstan),2025-06-14,21.38°C,29.77°C,실 비,20%,0.13mm
Bishkek (Kyrgyzstan),2025-06-15,22.81°C,35.9°C,온흐림,0%,0mm
Bishkek (Kyrgyzstan),2025-06-16,21.73°C,36.11°C,온흐림,0%,0mm
Bishkek (Kyrgyzstan),2025-06-17,23.03°C,39.12°C,맑음,0%,0mm
Bishkek (Kyrgyzstan),2025-06-18,23.92°C,41.53°C,맑음,0%,0mm
Vientiane (Lao People's Democratic Republic),2025-06-12,24.07°C,35.39°C,강한 비,100%,9.48mm
Vientiane (Lao People's Democratic Republic),2025-06-13,24.95°C,33.8°C,강한 비,100%,34.96mm
Vientiane (Lao People's Democratic Republic),2025-06-14,24.63°C,30.95°C,보통 비,100%,11.52mm
Vientiane (Lao People's Democratic Republic),2025-06-15,24.39°C,27.93°C,실 비,38%,0.77mm
Vientiane (Lao People's Democratic Republic),2025-06-16,24.24°C,30.77°C,보통 비,100%,8.84mm
Vientiane (Lao People's Democratic Republic),2025-06-17,24.66°C,30.8°C,보통 비,100%,12.6mm
Vientiane (Lao People's Democratic Republic),2025-06-18,23.64°C,25.78°C,보통 비,100%,10.41mm
Riga (Latvia),2025-06-12,10.65°C,13.23°C,실 비,100%,2.85mm
Riga (Latvia),2025-06-13,11.22°C,18.14°C,실 비,84%,0.52mm
Riga (Latvia),2025-06-14,11.71°C,19.57°C,튼구름,0%,0mm
Riga (Latvia),2025-06-15,10.89°C,22.89°C,온흐림,0%,0mm
Riga (Latvia),2025-06-16,13.13°C,25.94°C,실 비,100%,3.87mm
Riga (Latvia),2025-06-17,11.01°C,13.72°C,실 비,100%,2.52mm
Riga (Latvia),2025-06-18,10.56°C,22.27°C,실 비,20%,0.3mm
Bayrut (Beirut) (Lebanon),2025-06-12,23.39°C,25.02°C,맑음,0%,0mm
Bayrut (Beirut) (Lebanon),2025-06-13,23.8°C,25.74°C,맑음,0%,0mm
Bayrut (Beirut) (Lebanon),2025-06-14,24.34°C,25.23°C,맑음,0%,0mm
Bayrut (Beirut) (Lebanon),2025-06-15,23.58°C,24.48°C,맑음,0%,0mm
Bayrut (Beirut) (Lebanon),2025-06-16,22.64°C,24.39°C,맑음,0%,0mm
Bayrut (Beirut) (Lebanon),2025-06-17,23.16°C,25.44°C,맑음,0%,0mm
Bayrut (Beirut) (Lebanon),2025-06-18,24.3°C,27.16°C,맑음,0%,0mm
Maseru (Lesotho),2025-06-12,2.45°C,13.01°C,맑음,0%,0mm
Maseru (Lesotho),2025-06-13,3.19°C,14.27°C,맑음,0%,0mm
Maseru (Lesotho),2025-06-14,4.78°C,15.2°C,맑음,0%,0mm
Maseru (Lesotho),2025-06-15,5.74°C,14.19°C,구름조금,0%,0mm
Maseru (Lesotho),2025-06-16,5.2°C,15.05°C,맑음,0%,0mm
Maseru (Lesotho),2025-06-17,5.82°C,16.18°C,약간의 구름이 낀 하늘,0%,0mm
Maseru (Lesotho),2025-06-18,5.07°C,14.23°C,맑음,0%,0mm
Monrovia (Liberia),2025-06-12,23.5°C,25.54°C,강한 비,100%,70.16mm
Monrovia (Liberia),2025-06-13,23.59°C,27.03°C,보통 비,100%,26.94mm
Monrovia (Liberia),2025-06-14,24.22°C,25.32°C,강한 비,100%,35.5mm
Monrovia (Liberia),2025-06-15,24.06°C,26.04°C,보통 비,100%,26.93mm
Monrovia (Liberia),2025-06-16,23.13°C,24.9°C,강한 비,100%,139.34mm
Monrovia (Liberia),2025-06-17,24.28°C,27.61°C,실 비,100%,4.96mm
Monrovia (Liberia),2025-06-18,24.75°C,27.4°C,실 비,87%,5.85mm
Tarabulus (Tripoli) (Libya),2025-06-12,22.66°C,27.69°C,맑음,0%,0mm
Tarabulus (Tripoli) (Libya),2025-06-13,21.94°C,27.76°C,맑음,0%,0mm
Tarabulus (Tripoli) (Libya),2025-06-14,23.04°C,29.13°C,맑음,0%,0mm
Tarabulus (Tripoli) (Libya),2025-06-15,23.19°C,29.06°C,맑음,0%,0mm
Tarabulus (Tripoli) (Libya),2025-06-16,23.4°C,30.05°C,맑음,0%,0mm
Tarabulus (Tripoli) (Libya),2025-06-17,24.54°C,29.84°C,맑음,0%,0mm
Tarabulus (Tripoli) (Libya),2025-06-18,24.62°C,29.21°C,맑음,0%,0mm
Vaduz (Liechtenstein),2025-06-12,15.98°C,31.85°C,맑음,0%,0mm
Vaduz (Liechtenstein),2025-06-13,18.08°C,31.24°C,구름조금,0%,0mm
Vaduz (Liechtenstein),2025-06-14,18.44°C,33.17°C,보통 비,100%,4.1mm
Vaduz (Liechtenstein),2025-06-15,17.66°C,29.85°C,보통 비,100%,19.46mm
Vaduz (Liechtenstein),2025-06-16,15.96°C,25.66°C,실 비,100%,3.45mm
Vaduz (Liechtenstein),2025-06-17,15.43°C,29.36°C,보통 비,100%,8.25mm
Vaduz (Liechtenstein),2025-06-18,17.29°C,28.98°C,실 비,100%,1.02mm
Vilnius (Lithuania),2025-06-12,9.65°C,13.71°C,실 비,100%,2.31mm
Vilnius (Lithuania),2025-06-13,8.46°C,19.97°C,보통 비,100%,5.66mm
Vilnius (Lithuania),2025-06-14,10.66°C,22.68°C,맑음,0%,0mm
Vilnius (Lithuania),2025-06-15,10.68°C,22.22°C,약간의 구름이 낀 하늘,0%,0mm
Vilnius (Lithuania),2025-06-16,12.5°C,26.1°C,보통 비,100%,4.95mm
Vilnius (Lithuania),2025-06-17,10.16°C,15.8°C,실 비,100%,1.86mm
Vilnius (Lithuania),2025-06-18,10.97°C,22.52°C,약간의 구름이 낀 하늘,0%,0mm
Luxembourg (Luxembourg),2025-06-12,9.31°C,25.38°C,실 비,94%,0.83mm
Luxembourg (Luxembourg),2025-06-13,15.84°C,28.62°C,실 비,76%,0.11mm
Luxembourg (Luxembourg),2025-06-14,17.15°C,27.89°C,실 비,88%,1.99mm
Luxembourg (Luxembourg),2025-06-15,13.2°C,21.27°C,실 비,100%,2.22mm
Luxembourg (Luxembourg),2025-06-16,10.05°C,22.56°C,맑음,0%,0mm
Luxembourg (Luxembourg),2025-06-17,11.63°C,25.59°C,맑음,0%,0mm
Luxembourg (Luxembourg),2025-06-18,14.12°C,22.35°C,온흐림,0%,0mm
Antananarivo (Madagascar),2025-06-12,8.84°C,24.59°C,맑음,0%,0mm
Antananarivo (Madagascar),2025-06-13,11.03°C,21.72°C,맑음,4%,0mm
Antananarivo (Madagascar),2025-06-14,10.53°C,19.8°C,약간의 구름이 낀 하늘,13%,0mm
Antananarivo (Madagascar),2025-06-15,10.5°C,17.22°C,실 비,40%,0.35mm
Antananarivo (Madagascar),2025-06-16,9.83°C,16.8°C,실 비,51%,0.19mm
Antananarivo (Madagascar),2025-06-17,7.96°C,18.44°C,온흐림,8%,0mm
Antananarivo (Madagascar),2025-06-18,7.21°C,20.82°C,구름조금,0%,0mm
Lilongwe (Malawi),2025-06-12,13.55°C,24.82°C,구름조금,1%,0mm
Lilongwe (Malawi),2025-06-13,13.35°C,24.86°C,맑음,1%,0mm
Lilongwe (Malawi),2025-06-14,13.61°C,20.01°C,온흐림,1%,0mm
Lilongwe (Malawi),2025-06-15,11.56°C,24.66°C,맑음,0%,0mm
Lilongwe (Malawi),2025-06-16,12.3°C,23.29°C,구름조금,0%,0mm
Lilongwe (Malawi),2025-06-17,15.92°C,25.11°C,온흐림,2%,0mm
Lilongwe (Malawi),2025-06-18,13.7°C,25.98°C,튼구름,0%,0mm
Kuala Lumpur (Malaysia),2025-06-12,24.24°C,32.85°C,실 비,56%,0.56mm
Kuala Lumpur (Malaysia),2025-06-13,24.87°C,33.47°C,온흐림,0%,0mm
Kuala Lumpur (Malaysia),2025-06-14,23.92°C,33.62°C,실 비,100%,1.52mm
Kuala Lumpur (Malaysia),2025-06-15,24.86°C,32.78°C,실 비,94%,3.33mm
Kuala Lumpur (Malaysia),2025-06-16,24.9°C,28.27°C,실 비,75%,0.88mm
Kuala Lumpur (Malaysia),2025-06-17,24.63°C,29.99°C,보통 비,100%,13.44mm
Kuala Lumpur (Malaysia),2025-06-18,22.65°C,25.79°C,보통 비,100%,7.8mm
Male (Maldives),2025-06-12,28.34°C,28.74°C,실 비,100%,2.42mm
Male (Maldives),2025-06-13,28.33°C,28.89°C,실 비,100%,2.39mm
Male (Maldives),2025-06-14,28.04°C,28.55°C,실 비,100%,4.08mm
Male (Maldives),2025-06-15,27.84°C,28.38°C,보통 비,100%,12.74mm
Male (Maldives),2025-06-16,26.7°C,28.45°C,실 비,100%,2.1mm
Male (Maldives),2025-06-17,28.01°C,28.56°C,실 비,77%,1.23mm
Male (Maldives),2025-06-18,27.55°C,28.46°C,보통 비,100%,10.77mm
Bamako (Mali),2025-06-12,26.94°C,38.54°C,실 비,77%,2.21mm
Bamako (Mali),2025-06-13,25.58°C,36.87°C,튼구름,37%,0mm
Bamako (Mali),2025-06-14,24.71°C,36.81°C,강한 비,100%,20.07mm
Bamako (Mali),2025-06-15,21.98°C,32.51°C,보통 비,100%,8.86mm
Bamako (Mali),2025-06-16,26.13°C,35.98°C,실 비,46%,0.52mm
Bamako (Mali),2025-06-17,24.18°C,33.67°C,보통 비,100%,11.81mm
Bamako (Mali),2025-06-18,27.26°C,38.11°C,실 비,24%,0.13mm
Valletta (Malta),2025-06-12,23.47°C,25.49°C,맑음,0%,0mm
Valletta (Malta),2025-06-13,23.55°C,25.65°C,맑음,0%,0mm
Valletta (Malta),2025-06-14,23.65°C,25.31°C,맑음,0%,0mm
Valletta (Malta),2025-06-15,23.74°C,26.11°C,맑음,0%,0mm
Valletta (Malta),2025-06-16,24.19°C,25.96°C,맑음,0%,0mm
Valletta (Malta),2025-06-17,23.83°C,25.8°C,맑음,0%,0mm
Valletta (Malta),2025-06-18,23.88°C,25.84°C,맑음,0%,0mm
Majuro (Marshall Islands),2025-06-12,27.79°C,28.11°C,보통 비,93%,8.73mm
Majuro (Marshall Islands),2025-06-13,27.49°C,28.28°C,보통 비,100%,8.58mm
Majuro (Marshall Islands),2025-06-14,27.62°C,28.06°C,실 비,100%,4.24mm
Majuro (Marshall Islands),2025-06-15,27.69°C,28.25°C,실 비,100%,3.18mm
Majuro (Marshall Islands),2025-06-16,27.65°C,28.12°C,보통 비,100%,8.28mm
Majuro (Marshall Islands),2025-06-17,26.79°C,28.05°C,보통 비,100%,22.24mm
Majuro (Marshall Islands),2025-06-18,27.64°C,28.24°C,보통 비,90%,6.26mm
Fort-de-France (Martinique),2025-06-13,25.47°C,28.16°C,보통 비,100%,5.3mm
Fort-de-France (Martinique),2025-06-14,25.67°C,28.56°C,실 비,100%,0.13mm
Fort-de-France (Martinique),2025-06-15,25.99°C,28.52°C,실 비,37%,0.79mm
Fort-de-France (Martinique),2025-06-16,25.82°C,28.77°C,실 비,96%,0.87mm
Fort-de-France (Martinique),2025-06-17,26.05°C,28.87°C,실 비,20%,0.48mm
Fort-de-France (Martinique),2025-06-18,25.9°C,29.37°C,실 비,20%,0.27mm
Fort-de-France (Martinique),2025-06-19,25.99°C,28.7°C,실 비,20%,0.12mm
Nouakchott (Mauritania),2025-06-12,20.94°C,22.9°C,약간의 구름이 낀 하늘,0%,0mm
