city,date,min_temp,max_temp,weather,rp,rainfall
Bruxelles-Brussel (Belgium),2025-06-15,14.06°C,22.53°C,실 비,38%,0.27mm
Bruxelles-Brussel (Belgium),2025-06-16,12.4°C,24.9°C,약간의 구름이 낀 하늘,0%,0mm
Bruxelles-Brussel (Belgium),2025-06-17,13.05°C,27.27°C,맑음,0%,0mm
Bruxelles-Brussel (Belgium),2025-06-18,15.27°C,23.84°C,온흐림,0%,0mm
Belmopan (Belize),2025-06-12,23.69°C,34.38°C,실 비,65%,0.66mm
Belmopan (Belize),2025-06-13,23.44°C,33.2°C,실 비,46%,0.56mm
Belmopan (Belize),2025-06-14,23.84°C,33.18°C,실 비,95%,2.57mm
Belmopan (Belize),2025-06-15,23.84°C,32.67°C,실 비,70%,1.87mm
Belmopan (Belize),2025-06-16,23.4°C,28.14°C,실 비,100%,12.16mm
Belmopan (Belize),2025-06-17,22.79°C,26.02°C,보통 비,100%,17.37mm
Belmopan (Belize),2025-06-18,22.81°C,24.31°C,보통 비,100%,29.31mm
Cotonou (Benin),2025-06-12,26.53°C,29.14°C,보통 비,83%,4.55mm
Cotonou (Benin),2025-06-13,25.97°C,29.4°C,실 비,41%,0.53mm
Cotonou (Benin),2025-06-14,26.67°C,28.9°C,실 비,98%,8.12mm
Cotonou (Benin),2025-06-15,25.7°C,26.79°C,보통 비,100%,11.86mm
Cotonou (Benin),2025-06-16,24.65°C,27.37°C,보통 비,98%,20.45mm
Cotonou (Benin),2025-06-17,24.63°C,28.61°C,온흐림,10%,0mm
Cotonou (Benin),2025-06-18,25.4°C,28.29°C,강한 비,97%,18.16mm
Hamilton (Bermuda),2025-06-13,23.96°C,24.88°C,맑음,0%,0mm
Hamilton (Bermuda),2025-06-14,24.02°C,24.95°C,실 비,99%,1.87mm
Hamilton (Bermuda),2025-06-15,24.31°C,25.17°C,실 비,45%,0.4mm
Hamilton (Bermuda),2025-06-16,24.3°C,25.4°C,온흐림,0%,0mm
Hamilton (Bermuda),2025-06-17,24.66°C,25.06°C,온흐림,1%,0mm
Hamilton (Bermuda),2025-06-18,24.39°C,25.51°C,실 비,100%,2.94mm
Hamilton (Bermuda),2025-06-19,24.98°C,25.52°C,실 비,100%,5.28mm
Thimphu (Bhutan),2025-06-12,11.77°C,21.21°C,보통 비,100%,11.45mm
Thimphu (Bhutan),2025-06-13,13.25°C,19.86°C,보통 비,100%,13.46mm
Thimphu (Bhutan),2025-06-14,12.52°C,18.67°C,실 비,100%,3.78mm
Thimphu (Bhutan),2025-06-15,13.34°C,22.23°C,실 비,100%,7.82mm
Thimphu (Bhutan),2025-06-16,14.26°C,19.95°C,보통 비,100%,14.26mm
Thimphu (Bhutan),2025-06-17,13.8°C,18.3°C,실 비,100%,11.76mm
Thimphu (Bhutan),2025-06-18,13.03°C,19.33°C,실 비,100%,7.26mm
La Paz (Bolivia (Plurinational State of)),2025-06-13,0.38°C,11.06°C,튼구름,0%,0mm
La Paz (Bolivia (Plurinational State of)),2025-06-14,1.6°C,11.93°C,구름조금,0%,0mm
La Paz (Bolivia (Plurinational State of)),2025-06-15,1.01°C,11.43°C,온흐림,0%,0mm
La Paz (Bolivia (Plurinational State of)),2025-06-16,1.18°C,11.6°C,온흐림,5%,0mm
La Paz (Bolivia (Plurinational State of)),2025-06-17,0.11°C,10.8°C,맑음,0%,0mm
La Paz (Bolivia (Plurinational State of)),2025-06-18,0.96°C,9.8°C,실 비,33%,0.27mm
La Paz (Bolivia (Plurinational State of)),2025-06-19,3.33°C,8.31°C,실 비,100%,1.44mm
Sarajevo (Bosnia and Herzegovina),2025-06-12,12.17°C,27.65°C,맑음,0%,0mm
Sarajevo (Bosnia and Herzegovina),2025-06-13,13.17°C,26.67°C,맑음,0%,0mm
Sarajevo (Bosnia and Herzegovina),2025-06-14,11.83°C,25.75°C,맑음,0%,0mm
Sarajevo (Bosnia and Herzegovina),2025-06-15,9.8°C,26.89°C,맑음,0%,0mm
